party,name,position,facebook,twitter
Bharatiya Janata Party (BJP),Bharatiya Janata Party (BJP),,https://www.facebook.com/BJP4India/,https://twitter.com/BJP4India
,BJP Madhya Pradesh,,https://www.facebook.com/BJP4MP,
,Narendra Modi,,https://www.facebook.com/narendramodi,https://twitter.com/narendramodi
,J.P.Nadda,BJP National President and Union Minister,https://www.facebook.com/JagatPrakashNadda,https://twitter.com/JPNadda
,Amit Shah,"Union Home Minister & Minister of Cooperation, Member of Parliament (Gandhinagar Lok Sabha)",https://www.facebook.com/amitshahofficial,https://twitter.com/AmitShah
,Shri Pema Khandu,"Chief Minister , Arunachal Pradesh",https://www.facebook.com/PemaKhanduBJP/,https://twitter.com/PemaKhanduBJP
,Shri Chowna Mein,"Deputy Chief Minister , Arunachal Pradesh",https://www.facebook.com/DCMChownaMein/,https://twitter.com/DCMChownaMein
,Shri Samrat Choudhary,"Deputy Chief Minister, Bihar",https://www.facebook.com/samratchoudharyofficial,https://twitter.com/SMCHOUOfficial
,Shri Vijay Kumar Sinha,"Deputy Chief Minister, Bihar",,https://twitter.com/VijaykrSinhaBih
,Shri Vishnu Deo Sai,"Chief Minister , Chhattisgarh",https://www.facebook.com/vdsai/,
,Shri Arun Sao,"Deputy Chief Minister , Chhattisgarh",https://www.facebook.com/arunsaobjp,https://twitter.com/ArunSao3
,Shri Nayab Singh Saini,"Chief Minister , Haryana",,https://www.twitter.com/NayabSainiBJP
,Dr. Mohan Yadav,"Chief Minister , Madhya Pradesh",https://www.facebook.com/DrMohanYadav51,https://twitter.com/DrMohanYadav51
,Shri Jagdish Devda,"Deputy Chief Minister , Madhya Pradesh",https://www.facebook.com/JagdishDevdaBJP,https://twitter.com/jagdishdevdabjp
,Shri Rajendra Shukla,"Deputy Chief Minister , Madhya Pradesh",https://www.facebook.com/rajendrashuklamp,https://twitter.com/rshuklabjp
,Shri Devendra Fadnavis,"Deputy Chief Minister , Maharashtra",https://www.facebook.com/devendra.fadnavis/,https://twitter.com/dev_fadnavis
,Shri N. Biren Singh,"Chief Minister , Manipur",https://www.facebook.com/NongthombamBirensingh/,https://twitter.com/NBirenSingh
,Smt. Diya Kumari,"Deputy Chief Minister , Rajasthan",,https://www.twitter.com/KumariDiya
,Shri Yogi Adityanath,"Chief Minister , Uttar Pradesh",https://www.facebook.com/MYogiAdityanath/,https://twitter.com/myogiadityanath
,Shri Keshav Prasad Maurya,"Deputy Chief Minister , Uttar Pradesh",https://www.facebook.com/kpmaurya1bjp/,https://twitter.com/kpmaurya1
,Shri Brajesh Pathak,"Deputy Chief Minister , Uttar Pradesh",https://www.facebook.com/brajeshpathakup,https://twitter.com/brajeshpathakup
,Bhatia Gaurav,Senior Advocate - Supreme Court of India | BJP National Spokesperson,https://www.facebook.com/GauravBhatiaSrAdv,https://twitter.com/gauravbhatiabjp
,Shivraj Singh Chouhan,"Minister of Agriculture and Farmers Welfare , Minister of Rural Development, Government of India, Former Chief Minister, MP",https://www.facebook.com/ChouhanShivraj,
